H18地域,時間軸(年次),事業所数、従業者数(13年、18年）,産業分類（大・中・小）,値,単位
北海道,2006年,事業所数　平成18年,A～R全産業,251883,事業所
青森県,2006年,事業所数　平成18年,A～R全産業,68451,事業所
岩手県,2006年,事業所数　平成18年,A～R全産業,68767,事業所
宮城県,2006年,事業所数　平成18年,A～R全産業,109589,事業所
秋田県,2006年,事業所数　平成18年,A～R全産業,59672,事業所
山形県,2006年,事業所数　平成18年,A～R全産業,65796,事業所
福島県,2006年,事業所数　平成18年,A～R全産業,101573,事業所
茨城県,2006年,事業所数　平成18年,A～R全産業,126506,事業所
栃木県,2006年,事業所数　平成18年,A～R全産業,95995,事業所
群馬県,2006年,事業所数　平成18年,A～R全産業,102705,事業所
埼玉県,2006年,事業所数　平成18年,A～R全産業,254835,事業所
千葉県,2006年,事業所数　平成18年,A～R全産業,194817,事業所
東京都,2006年,事業所数　平成18年,A～R全産業,690556,事業所
神奈川県,2006年,事業所数　平成18年,A～R全産業,288962,事業所
新潟県,2006年,事業所数　平成18年,A～R全産業,131405,事業所
富山県,2006年,事業所数　平成18年,A～R全産業,60311,事業所
石川県,2006年,事業所数　平成18年,A～R全産業,66948,事業所
福井県,2006年,事業所数　平成18年,A～R全産業,48713,事業所
山梨県,2006年,事業所数　平成18年,A～R全産業,48723,事業所
長野県,2006年,事業所数　平成18年,A～R全産業,119608,事業所
岐阜県,2006年,事業所数　平成18年,A～R全産業,112668,事業所
静岡県,2006年,事業所数　平成18年,A～R全産業,191673,事業所
愛知県,2006年,事業所数　平成18年,A～R全産業,335601,事業所
三重県,2006年,事業所数　平成18年,A～R全産業,85865,事業所
滋賀県,2006年,事業所数　平成18年,A～R全産業,58197,事業所
京都府,2006年,事業所数　平成18年,A～R全産業,128660,事業所
大阪府,2006年,事業所数　平成18年,A～R全産業,428247,事業所
兵庫県,2006年,事業所数　平成18年,A～R全産業,238879,事業所
奈良県,2006年,事業所数　平成18年,A～R全産業,50631,事業所
和歌山県,2006年,事業所数　平成18年,A～R全産業,54768,事業所
鳥取県,2006年,事業所数　平成18年,A～R全産業,29192,事業所
島根県,2006年,事業所数　平成18年,A～R全産業,41814,事業所
岡山県,2006年,事業所数　平成18年,A～R全産業,85427,事業所
広島県,2006年,事業所数　平成18年,A～R全産業,139914,事業所
山口県,2006年,事業所数　平成18年,A～R全産業,71651,事業所
徳島県,2006年,事業所数　平成18年,A～R全産業,41295,事業所
香川県,2006年,事業所数　平成18年,A～R全産業,52303,事業所
愛媛県,2006年,事業所数　平成18年,A～R全産業,71594,事業所
高知県,2006年,事業所数　平成18年,A～R全産業,41982,事業所
福岡県,2006年,事業所数　平成18年,A～R全産業,224954,事業所
佐賀県,2006年,事業所数　平成18年,A～R全産業,41781,事業所
長崎県,2006年,事業所数　平成18年,A～R全産業,70794,事業所
熊本県,2006年,事業所数　平成18年,A～R全産業,81452,事業所
大分県,2006年,事業所数　平成18年,A～R全産業,59658,事業所
宮崎県,2006年,事業所数　平成18年,A～R全産業,58127,事業所
鹿児島県,2006年,事業所数　平成18年,A～R全産業,85655,事業所
沖縄県,2006年,事業所数　平成18年,A～R全産業,72441,事業所
北海道,2006年,事業所数　平成13年,A～R全産業,270504,事業所
青森県,2006年,事業所数　平成13年,A～R全産業,74338,事業所
岩手県,2006年,事業所数　平成13年,A～R全産業,72455,事業所
宮城県,2006年,事業所数　平成13年,A～R全産業,115293,事業所
秋田県,2006年,事業所数　平成13年,A～R全産業,65300,事業所
山形県,2006年,事業所数　平成13年,A～R全産業,70521,事業所
福島県,2006年,事業所数　平成13年,A～R全産業,109651,事業所
茨城県,2006年,事業所数　平成13年,A～R全産業,135381,事業所
栃木県,2006年,事業所数　平成13年,A～R全産業,103834,事業所
群馬県,2006年,事業所数　平成13年,A～R全産業,109635,事業所
埼玉県,2006年,事業所数　平成13年,A～R全産業,266772,事業所
千葉県,2006年,事業所数　平成13年,A～R全産業,206792,事業所
東京都,2006年,事業所数　平成13年,A～R全産業,724769,事業所
神奈川県,2006年,事業所数　平成13年,A～R全産業,309439,事業所
新潟県,2006年,事業所数　平成13年,A～R全産業,142122,事業所
富山県,2006年,事業所数　平成13年,A～R全産業,64734,事業所
石川県,2006年,事業所数　平成13年,A～R全産業,72637,事業所
福井県,2006年,事業所数　平成13年,A～R全産業,52853,事業所
山梨県,2006年,事業所数　平成13年,A～R全産業,52789,事業所
長野県,2006年,事業所数　平成13年,A～R全産業,128839,事業所
岐阜県,2006年,事業所数　平成13年,A～R全産業,122554,事業所
静岡県,2006年,事業所数　平成13年,A～R全産業,207920,事業所
愛知県,2006年,事業所数　平成13年,A～R全産業,360357,事業所
三重県,2006年,事業所数　平成13年,A～R全産業,93290,事業所
滋賀県,2006年,事業所数　平成13年,A～R全産業,61941,事業所
京都府,2006年,事業所数　平成13年,A～R全産業,142117,事業所
大阪府,2006年,事業所数　平成13年,A～R全産業,483962,事業所
兵庫県,2006年,事業所数　平成13年,A～R全産業,252131,事業所
奈良県,2006年,事業所数　平成13年,A～R全産業,53073,事業所
和歌山県,2006年,事業所数　平成13年,A～R全産業,58997,事業所
鳥取県,2006年,事業所数　平成13年,A～R全産業,31925,事業所
島根県,2006年,事業所数　平成13年,A～R全産業,45342,事業所
岡山県,2006年,事業所数　平成13年,A～R全産業,92821,事業所
広島県,2006年,事業所数　平成13年,A～R全産業,145553,事業所
山口県,2006年,事業所数　平成13年,A～R全産業,78096,事業所
徳島県,2006年,事業所数　平成13年,A～R全産業,45498,事業所
香川県,2006年,事業所数　平成13年,A～R全産業,57333,事業所
愛媛県,2006年,事業所数　平成13年,A～R全産業,80610,事業所
高知県,2006年,事業所数　平成13年,A～R全産業,46353,事業所
福岡県,2006年,事業所数　平成13年,A～R全産業,242596,事業所
佐賀県,2006年,事業所数　平成13年,A～R全産業,44666,事業所
長崎県,2006年,事業所数　平成13年,A～R全産業,76397,事業所
熊本県,2006年,事業所数　平成13年,A～R全産業,86650,事業所
大分県,2006年,事業所数　平成13年,A～R全産業,65300,事業所
宮崎県,2006年,事業所数　平成13年,A～R全産業,61671,事業所
鹿児島県,2006年,事業所数　平成13年,A～R全産業,90988,事業所
沖縄県,2006年,事業所数　平成13年,A～R全産業,73170,事業所
北海道,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
青森県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
岩手県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
宮城県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
秋田県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
山形県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
福島県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
茨城県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
栃木県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
群馬県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
埼玉県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
千葉県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
東京都,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
神奈川県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
新潟県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
富山県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
石川県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
福井県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
山梨県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
長野県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
岐阜県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
静岡県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
愛知県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
三重県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
滋賀県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
京都府,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
大阪府,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
兵庫県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
奈良県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
和歌山県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
鳥取県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
島根県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
岡山県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
広島県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
山口県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
徳島県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
香川県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
愛媛県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
高知県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
福岡県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
佐賀県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
長崎県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
熊本県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
大分県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
宮崎県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
鹿児島県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
沖縄県,2006年,事業所数　平成13年～18年　増加数,A～R全産業,,事業所
北海道,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
青森県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
岩手県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
宮城県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
秋田県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
山形県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
福島県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
茨城県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
栃木県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
群馬県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
埼玉県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
千葉県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
東京都,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
神奈川県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
新潟県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
富山県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
石川県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
福井県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
山梨県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
長野県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
岐阜県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
静岡県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
愛知県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
三重県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
滋賀県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
京都府,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
大阪府,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
兵庫県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
奈良県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
和歌山県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
鳥取県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
島根県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
岡山県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
広島県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
山口県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
徳島県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
香川県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
愛媛県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
高知県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
福岡県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
佐賀県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
長崎県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
熊本県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
大分県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
宮崎県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
鹿児島県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
沖縄県,2006年,事業所数　平成13年～18年　増加率,A～R全産業,,％
